INFO 2025-05-12 21:10:44,857 autoreload 11464 8168 Watching for file changes with StatReloader
INFO 2025-05-12 21:11:14,540 basehttp 11464 6680 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-05-12 21:11:25,636 basehttp 11464 8300 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4173
INFO 2025-05-12 21:11:28,075 basehttp 11464 13000 "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2025-05-12 21:11:28,076 basehttp 11464 8300 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2808
INFO 2025-05-12 21:11:28,078 basehttp 11464 2816 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2025-05-12 21:11:28,079 basehttp 11464 11924 "GET /static/admin/css/base.css HTTP/1.1" 200 22120
INFO 2025-05-12 21:11:28,328 basehttp 11464 6240 "GET /static/admin/css/responsive.css HTTP/1.1" 200 16565
INFO 2025-05-12 21:11:30,608 basehttp 11464 6240 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2025-05-12 21:11:30,614 basehttp 11464 11940 "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2025-05-12 21:11:42,267 basehttp 11464 1680 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-05-12 21:11:42,664 basehttp 11464 1680 "GET /admin/ HTTP/1.1" 200 7247
INFO 2025-05-12 21:11:43,206 basehttp 11464 1680 "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2025-05-12 21:11:43,314 basehttp 11464 308 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2025-05-12 21:11:43,322 basehttp 11464 3244 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2025-05-12 21:11:56,374 basehttp 11464 1792 "GET /admin/auth/user/add/ HTTP/1.1" 200 12952
INFO 2025-05-12 21:11:57,344 basehttp 11464 10368 "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2025-05-12 21:11:57,491 basehttp 11464 1792 "GET /static/admin/css/forms.css HTTP/1.1" 200 8525
INFO 2025-05-12 21:11:57,520 basehttp 11464 10368 "GET /static/admin/css/unusable_password_field.css HTTP/1.1" 200 663
INFO 2025-05-12 21:11:58,321 basehttp 11464 10568 "GET /static/admin/js/actions.js HTTP/1.1" 200 8076
INFO 2025-05-12 21:11:58,440 basehttp 11464 1792 "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
INFO 2025-05-12 21:11:58,608 basehttp 11464 10568 "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2025-05-12 21:11:58,647 basehttp 11464 10368 "GET /static/admin/css/widgets.css HTTP/1.1" 200 11991
INFO 2025-05-12 21:11:58,929 basehttp 11464 3980 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 9777
INFO 2025-05-12 21:11:58,929 basehttp 11464 1792 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
INFO 2025-05-12 21:11:59,123 basehttp 11464 10368 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-05-12 21:11:59,124 basehttp 11464 6988 "GET /static/admin/js/core.js HTTP/1.1" 200 6208
INFO 2025-05-12 21:12:01,031 basehttp 11464 4024 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 285314
INFO 2025-05-12 21:12:01,463 basehttp 11464 10568 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 325171
INFO 2025-05-12 21:12:01,549 basehttp 11464 4024 "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
INFO 2025-05-12 21:12:02,011 basehttp 11464 10568 "GET /static/admin/js/unusable_password_field.js HTTP/1.1" 200 1480
INFO 2025-05-12 21:12:35,580 basehttp 11464 11936 "GET /admin/distributors/userprofile/add/ HTTP/1.1" 200 11109
INFO 2025-05-12 21:12:41,065 basehttp 11464 7104 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-05-12 21:12:41,409 basehttp 11464 9688 "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 581
INFO 2025-05-12 21:13:06,819 basehttp 11464 6400 "POST /admin/distributors/userprofile/add/ HTTP/1.1" 302 0
INFO 2025-05-12 21:13:09,195 basehttp 11464 6400 "GET /admin/distributors/userprofile/ HTTP/1.1" 200 10846
INFO 2025-05-12 21:13:09,507 basehttp 11464 10224 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-05-12 21:13:09,885 basehttp 11464 6400 "GET /static/admin/css/changelists.css HTTP/1.1" 200 6878
INFO 2025-05-12 21:13:10,588 basehttp 11464 6400 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
INFO 2025-05-12 21:13:10,701 basehttp 11464 10224 "GET /static/admin/js/filters.js HTTP/1.1" 200 978
INFO 2025-05-12 21:13:11,068 basehttp 11464 1816 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
INFO 2025-05-12 21:13:24,668 basehttp 11464 10180 "GET /admin/distributors/userprofile/ HTTP/1.1" 200 10622
INFO 2025-05-12 21:13:24,902 basehttp 11464 10180 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-05-12 21:13:32,019 basehttp 11464 6280 "GET /admin/distributors/userprofile/?role__exact=manager HTTP/1.1" 200 10861
